,id_registro,texto_limpo,canal_origem,data,classe_macro,classe_detalhada,tamanho_texto,qntd_palavras_texto
85,86,necessario cadastrar novo acesso colaborador,sistema,2025-03-29,Solicitações Operacionais,Criação / Gestão de Usuários,44,5
87,88,servico indisponivel impossibilitando uso plataforma,formulario,2025-03-20,Problemas Técnicos,Indisponibilidade / Queda do Serviço,52,5
88,89,solicito integracao sistema externo via api,chat,2025-03-29,Solicitações Operacionais,Integração com Sistemas Externos,43,6
102,103,duvida sobre juros aplicados fatura,sistema,2025-03-17,Financeiro e Cobrança,Juros e Encargos,35,5
103,104,questionamento sobre encargos cobrados,sistema,2025-03-13,Financeiro e Cobrança,Juros e Encargos,38,4
104,105,solicito segunda via boleto,chat,2025-03-14,Financeiro e Cobrança,Segunda Via de Boleto,27,4
105,106,sugiro aprimorar algumas funcionalidades,sistema,2025-03-13,Feedback e Experiência,Sugestão de Melhoria,40,4
114,115,sugiro melhorias sistema,email,2025-03-29,Feedback e Experiência,Sugestão de Melhoria,24,3
121,122,pedido alteracao cadastral,sistema,2025-03-25,Solicitações Operacionais,Atualização Cadastral,26,3
124,125,gostaria esclarecimentos sobre cobranca,email,2025-03-05,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores,39,4
125,126,necessario integrar plataforma sistema terceiros,chat,2025-03-23,Solicitações Operacionais,Integração com Sistemas Externos,48,5
127,128,evento gerado automaticamente,email,2025-03-07,Outros,Registro Automático,29,3
143,144,pedido agendamento treinamento,email,2025-03-19,Solicitações Operacionais,Solicitação de Treinamento,30,3
148,149,pedido inclusao usuario perfil especifico,chat,2025-03-04,Solicitações Operacionais,Criação / Gestão de Usuários,41,5
151,152,sistema nao reconheceu pagamento efetuado,sistema,2025-03-01,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado,41,5
154,155,pedido atualizacao plano atual,sistema,2025-03-20,Solicitações Operacionais,Alteração de Plano / Contrato,30,4
157,158,aplicacao ar desde inicio manha,chat,2025-03-25,Problemas Técnicos,Indisponibilidade / Queda do Serviço,31,5
178,179,performance degradada acessar dashboards,email,2025-03-05,Problemas Técnicos,Problemas de Performance / Lentidão,40,4
185,186,nao consigo acessar sistema pois ocorre erro autenticacao credenciais corretas,chat,2025-03-18,Problemas Técnicos,Erro de Autenticação e Acesso,78,10
202,203,login falhando impede acesso ambiente,formulario,2025-03-23,Problemas Técnicos,Erro de Autenticação e Acesso,37,5
207,208,erro autenticar usuario apos redefinicao senha,sistema,2025-03-20,Problemas Técnicos,Erro de Autenticação e Acesso,46,6
216,217,solicito treinamento equipe,chat,2025-03-28,Solicitações Operacionais,Solicitação de Treinamento,27,3
240,241,erro gerar relatorio financeiro pdf csv,chat,2025-03-03,Problemas Técnicos,Erro de Exportação / Relatórios,39,6
293,294,necessario capacitacao usuarios sistema,formulario,2025-03-13,Solicitações Operacionais,Solicitação de Treinamento,39,4
352,353,valor fatura parece incorreto,formulario,2025-03-05,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores,29,4
400,401,erro consultar dados devido indisponibilidade banco,email,2025-03-14,Problemas Técnicos,Falha de Banco de Dados,51,6
